,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
149,2023-11-08,20:00,Liga 1,Finals,Wed,Home,L,0,2,Universitario,,,Josepmir Ballón,3-4-1-2,3-5-2,Edwin Ordóñez,Match Report,Leg 2 of 2; Universitario won
150,2024-01-28,20:00,Liga 1,Torneo Apertura,Sun,Home,W,2,1,U César Vallejo,,,Hernán Barcos,3-4-3,4-2-3-1,,Match Report,
151,2024-02-04,14:00,Liga 1,Torneo Apertura,Sun,Away,W,2,0,Alianza Atlético,,,Hernán Barcos,3-5-2,5-4-1,,Match Report,
152,2024-02-10,20:00,Liga 1,Torneo Apertura,Sat,Home,L,0,1,Universitario,,,Hernán Barcos,3-5-2,3-5-2,,Match Report,
153,2024-02-18,14:00,Liga 1,Torneo Apertura,Sun,Away,W,3,1,Unión Comercio,,,Hernán Barcos,4-3-3,4-2-3-1,,Match Report,
154,2024-02-25,16:00,Liga 1,Torneo Apertura,Sun,Home,W,5,1,Comerciantes Unidos,,,Hernán Barcos,4-3-3,4-2-3-1,,Match Report,
155,2024-03-01,15:00,Liga 1,Torneo Apertura,Fri,Away,L,0,2,ADT Tarma,,,Hernán Barcos,3-5-2,3-4-1-2,,Match Report,
156,2024-03-09,20:00,Liga 1,Torneo Apertura,Sat,Home,L,1,2,Sporting Cristal,,,Hernán Barcos,3-5-2,4-2-3-1,,Match Report,
157,2024-03-13,18:30,Liga 1,Torneo Apertura,Wed,Away,L,1,2,Cienciano,,,Hernán Barcos,3-5-2,4-2-3-1,,Match Report,
158,2024-03-28,20:00,Liga 1,Torneo Apertura,Thu,Home,W,3,0,CDC Santa Rosa,,,Carlos Zambrano,3-5-2,4-2-3-1,,Match Report,
159,2024-04-03,19:30,Libertadores,Group stage,Wed,Home,D,1,1,br Fluminense,21,"19,779",Carlos Zambrano,3-5-2,4-2-3-1,,Match Report,
160,2024-04-06,17:30,Liga 1,Torneo Apertura,Sat,Away,W,4,0,Mannucci,,,Hernán Barcos,5-3-2,4-4-2,,Match Report,
161,2024-04-10,18:00,Libertadores,Group stage,Wed,Away,L,0,1,py Cerro Porteño,37,"17,624",Carlos Zambrano,3-5-2,4-2-3-1,,Match Report,
162,2024-04-14,19:30,Liga 1,Torneo Apertura,Sun,Home,W,2,0,Atlético Grau,,,Hernán Barcos,3-5-2,4-4-2,,Match Report,
163,2024-04-18,20:00,Liga 1,Torneo Apertura,Thu,Home,W,3,0,Sport Boys,,,Hernán Barcos,3-5-2,5-3-2,,Match Report,
164,2024-04-23,20:30,Libertadores,Group stage,Tue,Away,D,0,0,cl Colo-Colo,27,"39,886",Hernán Barcos,4-5-1,3-4-3,,Match Report,
165,2024-04-28,17:30,Liga 1,Torneo Apertura,Sun,Away,L,0,1,Melgar,,,Carlos Zambrano,3-1-4-2,4-2-3-1,,Match Report,
166,2024-05-03,20:30,Liga 1,Torneo Apertura,Fri,Home,W,1,0,UTC,,,Hernán Barcos,3-1-4-2,4-3-3,,Match Report,
167,2024-05-08,19:00,Libertadores,Group stage,Wed,Home,D,1,1,py Cerro Porteño,65,"21,681",Hernán Barcos,3-1-4-2,4-2-3-1,,Match Report,
168,2024-05-11,18:30,Liga 1,Torneo Apertura,Sat,Away,W,2,0,Sport Huancayo,,,Adrián Arregui,3-1-4-2,4-2-3-1,,Match Report,
169,2024-05-15,19:00,Libertadores,Group stage,Wed,Home,D,1,1,cl Colo-Colo,41,"25,949",Hernán Barcos,3-1-4-2,3-5-2,,Match Report,
170,2024-05-19,20:00,Liga 1,Torneo Apertura,Sun,Home,W,3,2,Deportivo Garcilaso,,,Hernán Barcos,3-1-4-2,4-2-3-1,,Match Report,
171,2024-05-24,18:00,Liga 1,Torneo Apertura,Fri,Away,L,0,3,Cusco,,,Hernán Barcos,3-1-4-2,4-3-3,,Match Report,
172,2024-05-29,21:30,Libertadores,Group stage,Wed,Away,L,2,3,br Fluminense,30,"38,404",Carlos Zambrano,3-5-2,4-2-3-1,,Match Report,
173,2024-07-13,15:30,Liga 1,Torneo Clausura,Sat,Away,W,3,2,U César Vallejo,,,Hernán Barcos,3-1-4-2,4-2-3-1,,Match Report,
174,2024-07-20,19:00,Liga 1,Torneo Clausura,Sat,Home,W,2,0,Alianza Atlético,,,Hernán Barcos,3-1-4-2,3-4-3,,Match Report,
175,2024-07-26,20:30,Liga 1,Torneo Clausura,Fri,Away,L,1,2,Universitario,,,Hernán Barcos,3-1-4-2,3-1-4-2,,Match Report,
176,2024-07-30,19:30,Liga 1,Torneo Clausura,Tue,Home,W,1,0,Unión Comercio,,,Hernán Barcos,4-3-3,4-2-3-1,,Match Report,
177,2024-08-03,15:00,Liga 1,Torneo Clausura,Sat,Away,W,3,1,Comerciantes Unidos,,,Hernán Barcos,3-5-2,4-1-4-1,,Match Report,
178,2024-08-10,20:15,Liga 1,Torneo Clausura,Sat,Home,D,0,0,ADT Tarma,,,Hernán Barcos,3-4-1-2,3-4-1-2,,Match Report,
