,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
40,2021-08-02,19:30,Liga 1,Torneo Clausura,Mon,Home,L,2,3,Dep Municipal,,,Daniel Ferreyra,4-2-3-1,4-2-3-1,Micke Palomino,Match Report,
41,2021-08-09,13:15,Liga 1,Torneo Clausura,Mon,Away,L,1,3,Universitario,,,Juan Lojas,4-3-3,3-4-1-2,Joel Alarcón,Match Report,
42,2021-08-14,18:00,Liga 1,Torneo Clausura,Sat,Home,D,0,0,Sport Huancayo,,,Jorge Molina,4-2-3-1,4-2-3-1,Edwin Ordóñez,Match Report,
43,2021-08-17,13:15,Liga 1,Torneo Clausura,Tue,Away,W,1,0,U César Vallejo,,,Daniel Ferreyra,4-2-3-1,3-5-2,Hibert Villegas,Match Report,
44,2021-08-22,11:00,Liga 1,Torneo Clausura,Sun,Home,W,2,0,Binacional,,,Daniel Ferreyra,4-3-3,4-4-2,Kevin Ortega,Match Report,
45,2021-08-27,15:30,Liga 1,Torneo Clausura,Fri,Away,D,2,2,Cusco,,,Daniel Ferreyra,4-3-3,4-2-3-1,Michael Espinoza,Match Report,
46,2021-09-12,18:00,Liga 1,Torneo Clausura,Sun,Home,L,0,1,Melgar,,,Juan Lojas,4-3-3,4-2-3-1,Edwin Ordóñez,Match Report,
47,2021-09-17,11:00,Liga 1,Torneo Clausura,Fri,Away,D,2,2,Alianza Atlético,,,Juan Lojas,4-3-3,4-5-1,José Mendoza,Match Report,
48,2021-09-21,11:00,Liga 1,Torneo Clausura,Tue,Home,D,2,2,UTC,,,Juan Romagnoli,4-2-3-1,4-2-3-1,Jonathan Zamora,Match Report,
49,2021-09-25,13:15,Liga 1,Torneo Clausura,Sat,Away,W,3,1,Mannucci,,,Juan Romagnoli,4-2-3-1,4-2-3-1,Roberto Pérez,Match Report,
50,2021-10-01,15:30,Liga 1,Torneo Clausura,Fri,Home,W,2,1,Sporting Cristal,,,Jorge Molina,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
51,2021-10-17,13:15,Liga 1,Torneo Clausura,Sun,Away,D,1,1,Alianza Univ,,,Jorge Molina,4-2-3-1,4-2-3-1,Augusto Menéndez,Match Report,
52,2021-10-22,13:15,Liga 1,Torneo Clausura,Fri,Away,W,3,1,Ayacucho,,,Jorge Molina,4-2-3-1,4-3-3,Víctor Carrillo,Match Report,
53,2021-10-29,15:00,Liga 1,Torneo Clausura,Fri,Home,D,1,1,Alianza Lima,,,Jorge Molina,4-5-1,3-5-2,Gean Pierre Barbagelatta,Match Report,
54,2022-02-04,13:15,Liga 1,Torneo Apertura,Fri,Away,D,0,0,U César Vallejo,,,Adrián Ugarriza,4-3-3,3-4-3,Wilfredo Blas,Match Report,
55,2022-02-12,19:00,Liga 1,Torneo Apertura,Sat,Home,W,4,2,Dep Municipal,,,Adrián Ugarriza,4-3-3,4-4-2,Fernando Legario,Match Report,
