,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
23,2020-11-09,13:15,Liga 1,Group Stage,Mon,Away,W,3,0,Sport Huancayo,,,Mauricio Montes,3-4-3,4-2-3-1,Joel Alarcón,Match Report,
24,2020-11-14,15:30,Liga 1,Group Stage,Sat,Away,D,1,1,Dep Municipal,,,Robert Ardiles,3-4-3,4-5-1,Luis Garay Evia,Match Report,
25,2020-11-20,11:00,Liga 1,Group Stage,Fri,Home,W,3,1,Cusco,,,Mauricio Montes,3-4-3,4-2-3-1,Diego Haro,Match Report,
26,2020-11-24,11:00,Liga 1,Group Stage,Tue,Away,W,1,0,Sport Boys,,,Mauricio Montes,3-5-1-1,4-2-3-1,Fernando Legario,Match Report,
27,2020-11-30,15:30,Liga 1,Group Stage,Mon,Home,W,1,0,Mannucci,,,Mauricio Montes,3-5-1-1,4-2-3-1,Roberto Pérez,Match Report,
28,2020-12-05,14:00,Liga 1,Final,Sat,Away,D,1 (3),1 (2),Sporting Cristal,,,Mauricio Montes,4-2-3-1,4-3-3,Miguel Santiváñez,Match Report,Ayacucho won on penalty kicks following extra time
29,2020-12-09,15:30,Liga 1,Semi-finals,Wed,Away,L,1,2,Sporting Cristal,,,Mauricio Montes,4-2-3-1,4-1-4-1,Kevin Ortega,Match Report,Leg 1 of 2
30,2020-12-12,15:00,Liga 1,Semi-finals,Sat,Home,L,1,4,Sporting Cristal,,,Robert Ardiles,3-4-1-2,4-2-3-1,Diego Haro,Match Report,Leg 2 of 2; Sporting Cristal won
31,2021-03-10,21:30,Libertadores,Second qualifying stage,Wed,Away,L,1,6,br Grêmio,37,,Robert Ardiles,4-3-3,4-2-3-1,Augusto Aragón,Match Report,Leg 1 of 2
32,2021-03-16,19:30,Libertadores,Second qualifying stage,Tue,Home,L,1,2,br Grêmio,50,,Robert Ardiles,4-2-3-1,4-4-2,Esteban Ostojich,Match Report,Leg 2 of 2; Grêmio won
33,2021-03-31,15:30,Liga 1,Group Stage,Wed,Home,W,3,0,Sport Huancayo,,,Robert Ardiles,4-2-3-1,4-2-3-1,José Mendoza,Match Report,
34,2021-04-07,15:30,Liga 1,Group Stage,Wed,Home,D,2,2,USMP,,,Robert Ardiles,4-2-3-1,4-2-3-1,Micke Palomino,Match Report,
35,2021-04-12,15:30,Liga 1,Group Stage,Mon,Away,D,0,0,Melgar,,,Robert Ardiles,4-2-3-1,4-3-3,Roberto Pérez,Match Report,
36,2021-04-15,11:00,Liga 1,Group Stage,Thu,Away,W,1,0,Alianza Atlético,,,Robert Ardiles,4-2-3-1,4-2-3-1,Pablo López,Match Report,
37,2021-04-23,18:00,Liga 1,Group Stage,Fri,Home,D,1,1,Cienciano,,,Robert Ardiles,4-2-3-1,3-4-3,Jonathan Zamora,Match Report,
38,2021-04-30,11:00,Liga 1,Group Stage,Fri,Away,W,3,1,UTC,,,Minzum Quina,4-2-3-1,4-4-2,Hibert Villegas,Match Report,
39,2021-05-08,18:00,Liga 1,Group Stage,Sat,Away,D,1,1,Mannucci,,,Minzum Quina,4-2-3-1,4-2-3-1,Augusto Menéndez,Match Report,
40,2021-05-15,15:30,Liga 1,Group Stage,Sat,Home,D,3,3,Universitario,,,Pablo Lavandeira,4-2-3-1,3-5-2,Roberto Pérez,Match Report,
41,2021-05-23,15:30,Liga 1,Group Stage,Sun,Away,D,2,2,Cantolao,,,Minzum Quina,4-2-3-1,3-4-1-2,Jesús Cartagena,Match Report,
42,2021-07-18,15:30,Liga 1,Torneo Clausura,Sun,Away,L,1,4,Alianza Lima,,,Minzum Quina,5-4-1,3-5-2,Fernando Legario,Match Report,
43,2021-07-24,13:15,Liga 1,Torneo Clausura,Sat,Home,L,1,2,Sport Boys,,,Minzum Quina,4-2-3-1,4-3-3,Jordy Espinoza,Match Report,
44,2021-07-30,11:00,Liga 1,Torneo Clausura,Fri,Away,D,2,2,Cantolao,,,Minzum Quina,4-2-3-1,4-2-3-1,Micke Palomino,Match Report,
45,2021-08-02,17:00,Liga 1,Torneo Clausura,Mon,Home,W,1,0,USMP,,,Minzum Quina,4-2-3-1,4-3-3,Fernando Legario,Match Report,
46,2021-08-06,11:00,Liga 1,Torneo Clausura,Fri,Away,W,1,0,Dep Municipal,,,Minzum Quina,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
47,2021-08-14,13:15,Liga 1,Torneo Clausura,Sat,Home,D,1,1,Universitario,,,Minzum Quina,3-4-1-2,3-4-1-2,Luis Garay Evia,Match Report,
48,2021-08-18,13:00,Liga 1,Torneo Clausura,Wed,Away,D,1,1,Sport Huancayo,,,Minzum Quina,4-2-3-1,4-2-3-1,David Huaman,Match Report,
49,2021-08-22,13:15,Liga 1,Torneo Clausura,Sun,Home,W,2,1,U César Vallejo,,,Minzum Quina,4-2-3-1,3-4-3,Edwin Ordóñez,Match Report,
50,2021-08-27,11:00,Liga 1,Torneo Clausura,Fri,Away,L,1,3,Binacional,,,Robert Ardiles,4-2-3-1,3-4-3,Joel Alarcón,Match Report,
51,2021-09-11,13:15,Liga 1,Torneo Clausura,Sat,Home,L,1,3,Cusco,,,Minzum Quina,4-2-3-1,4-4-2,Micke Palomino,Match Report,
