,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Captain,Formation,Opp Formation,Referee,Team,DateTime
204,2020-08-27,13:15,Liga 1,Torneo Apertura,3,Away,D,1,1,Atlético Grau,Diego Hernán Morales,4-4-2,4-2-3-1,Renzo Castañeda,Alianza Universidad,2020-08-27 13:15:00
205,2020-08-31,15:30,Liga 1,Torneo Apertura,0,Home,D,1,1,Dep Municipal,Diego Hernán Morales,4-4-2,4-2-3-1,Roberto Pérez,Alianza Universidad,2020-08-31 15:30:00
206,2020-09-07,13:15,Liga 1,Torneo Apertura,0,Away,L,2,3,Universitario,Diego Hernán Morales,4-4-2,4-2-3-1,Kevin Ortega,Alianza Universidad,2020-09-07 13:15:00
207,2020-09-11,11:00,Liga 1,Torneo Apertura,4,Home,L,1,2,Binacional,Diego Hernán Morales,4-3-3,4-4-2,Diego Haro,Alianza Universidad,2020-09-11 11:00:00
208,2020-09-19,18:00,Liga 1,Torneo Apertura,5,Away,L,1,2,Sporting Cristal,Diego Hernán Morales,4-2-3-1,4-3-3,Roberto Pérez,Alianza Universidad,2020-09-19 18:00:00
209,2020-09-23,11:00,Liga 1,Torneo Apertura,2,Home,W,1,0,Cusco,,4-2-3-1,4-2-3-1,José Mendoza,Alianza Universidad,2020-09-23 11:00:00
210,2020-09-28,15:30,Liga 1,Torneo Apertura,0,Away,L,0,1,Melgar,Diego Hernán Morales,4-2-3-1,4-3-3,Víctor Carrillo,Alianza Universidad,2020-09-28 15:30:00
211,2020-10-01,15:30,Liga 1,Torneo Apertura,3,Home,D,0,0,UTC,Diego Hernán Morales,4-4-2,4-2-3-1,Jonathan Zamora,Alianza Universidad,2020-10-01 15:30:00
212,2020-10-05,15:30,Liga 1,Torneo Apertura,0,Away,W,1,0,Sport Huancayo,Diego Hernán Morales,4-2-3-1,4-2-3-1,Edwin Ordóñez,Alianza Universidad,2020-10-05 15:30:00
213,2020-10-09,15:30,Liga 1,Torneo Apertura,4,Home,D,0,0,U César Vallejo,Diego Hernán Morales,4-2-2-2,3-4-3,Roberto Pérez,Alianza Universidad,2020-10-09 15:30:00
214,2020-10-12,15:00,Liga 1,Torneo Apertura,0,Away,W,2,1,Cantolao,Diego Hernán Morales,4-2-2-2,4-2-3-1,Pablo López,Alianza Universidad,2020-10-12 15:00:00
215,2020-10-17,15:30,Liga 1,Torneo Apertura,5,Home,L,0,1,Sport Boys,Diego Hernán Morales,4-2-2-2,4-4-2,Víctor Carrillo,Alianza Universidad,2020-10-17 15:30:00
216,2020-10-26,13:00,Liga 1,Group Stage,0,Home,L,0,1,USMP,Diego Hernán Morales,4-4-2,4-3-3,Renzo Castañeda,Alianza Universidad,2020-10-26 13:00:00
217,2020-10-31,15:30,Liga 1,Group Stage,5,Home,L,0,1,Universitario,Diego Hernán Morales,4-4-2,4-2-3-1,Augusto Menéndez,Alianza Universidad,2020-10-31 15:30:00
218,2020-11-04,15:30,Liga 1,Group Stage,2,Away,L,1,2,Binacional,Diego Hernán Morales,4-4-2,4-2-3-1,Michael Espinoza,Alianza Universidad,2020-11-04 15:30:00
219,2020-11-07,11:00,Liga 1,Group Stage,5,Home,W,3,2,Carlos Stein,Diego Hernán Morales,4-4-2,4-2-3-1,Miguel Santiváñez,Alianza Universidad,2020-11-07 11:00:00
220,2020-11-10,18:00,Liga 1,Group Stage,1,Away,L,0,2,Sporting Cristal,Diego Hernán Morales,4-4-2,4-1-4-1,Luis Garay Evia,Alianza Universidad,2020-11-10 18:00:00
221,2020-11-13,13:15,Liga 1,Group Stage,4,Away,W,2,1,UTC,Diego Hernán Morales,4-2-3-1,4-2-3-1,Jesús Cartagena,Alianza Universidad,2020-11-13 13:15:00
