DateTime,Day,Time,Round,Home Team,Away Team,GF,GA,Formation,Opp Formation,Result,HGS,AGS,HGC,AGC,MW,HTP,ATP,HUS,AUS,HLS,ALS,1_RHT,2_RHT,3_RHT,4_RHT,5_RHT,1_RAT,2_RAT,3_RAT,4_RAT,5_RAT,HGD,AGD,PD,HGDForm,AGDForm,HTPForm,ATPForm,PDForm
2023-07-03 18:00:00,0,18:00,Torneo Clausura,U César Vallejo,Cienciano,0,3,4-2-3-1,5-4-1,0,17.0,24.0,22.0,29.0,23.0,17.0,25.0,0.0,1.0,2.0,0.0,L,L,W,D,L,D,L,L,W,L,-5.0,-5.0,-8.0,-0.21739130434782608,-0.21739130434782608,0.7391304347826086,1.0869565217391304,-0.34782608695652173
2023-07-03 20:30:00,0,20:30,Torneo Clausura,Universitario,Alianza Atlético,2,0,3-5-2,3-4-3,1,30.0,33.0,15.0,35.0,22.0,35.0,23.0,1.0,0.0,0.0,1.0,D,L,W,L,W,L,D,L,W,L,15.0,-2.0,12.0,0.6818181818181818,-0.09090909090909091,1.5909090909090908,1.0454545454545454,0.5454545454545454
2023-07-04 15:30:00,1,15:30,Torneo Clausura,Sport Boys,Cantolao,0,1,4-1-4-1,5-3-2,0,15.0,7.0,27.0,31.0,22.0,21.0,9.0,3.0,0.0,0.0,2.0,W,W,W,L,W,L,L,D,D,D,-12.0,-24.0,12.0,-0.5454545454545454,-1.0909090909090908,0.9545454545454546,0.4090909090909091,0.5454545454545454
2023-07-07 15:00:00,4,15:00,Torneo Clausura,Melgar,Atlético Grau,3,0,4-3-3,4-2-3-1,1,30.0,31.0,24.0,25.0,23.0,29.0,23.0,6.0,0.0,0.0,2.0,D,W,W,D,W,L,L,D,W,L,6.0,6.0,6.0,0.2608695652173913,0.2608695652173913,1.2608695652173914,1.0,0.26086956521739135
2023-07-07 20:00:00,4,20:00,Torneo Clausura,Cantolao,Universitario,1,4,5-4-1,3-1-4-2,0,8.0,32.0,31.0,15.0,23.0,12.0,38.0,1.0,2.0,0.0,0.0,W,L,L,D,D,W,D,L,W,L,-23.0,17.0,-26.0,-1.0,0.7391304347826086,0.5217391304347826,1.6521739130434783,-1.1304347826086958
2023-07-08 13:00:00,5,13:00,Torneo Clausura,Alianza Atlético,U César Vallejo,0,1,4-2-3-1,4-4-2,0,33.0,17.0,37.0,25.0,24.0,23.0,17.0,0.0,0.0,2.0,3.0,L,L,D,L,W,L,L,L,W,D,-4.0,-8.0,6.0,-0.16666666666666666,-0.3333333333333333,0.9583333333333334,0.7083333333333334,0.25
2023-07-08 15:30:00,5,15:30,Torneo Clausura,Cienciano,UTC,2,2,5-4-1,4-2-3-1,0,27.0,17.0,29.0,24.0,24.0,28.0,22.0,2.0,1.0,0.0,0.0,W,D,L,L,W,D,L,L,W,L,-2.0,-7.0,6.0,-0.08333333333333333,-0.2916666666666667,1.1666666666666667,0.9166666666666666,0.2500000000000001
2023-07-08 19:00:00,5,19:00,Torneo Clausura,Alianza Lima,Sporting Cristal,0,0,4-3-3,4-3-3,0,40.0,38.0,16.0,18.0,23.0,48.0,41.0,3.0,10.0,0.0,0.0,W,W,W,L,W,W,W,D,W,W,24.0,20.0,7.0,1.0434782608695652,0.8695652173913043,2.0869565217391304,1.7826086956521738,0.30434782608695654
2023-07-09 13:00:00,6,13:00,Torneo Clausura,Unión Comercio,Sport Boys,0,1,4-2-3-1,4-1-4-1,0,21.0,15.0,35.0,28.0,23.0,16.0,21.0,0.0,0.0,1.0,1.0,L,D,D,W,L,L,W,W,W,L,-14.0,-13.0,-5.0,-0.6086956521739131,-0.5652173913043478,0.6956521739130435,0.9130434782608695,-0.21739130434782605
2023-07-09 19:30:00,6,19:30,Torneo Clausura,Binacional,Deportivo Garcilaso,1,5,4-2-3-1,3-4-3,0,28.0,35.0,36.0,29.0,23.0,18.0,29.0,0.0,2.0,2.0,0.0,L,L,W,L,W,D,W,L,D,D,-8.0,6.0,-11.0,-0.34782608695652173,0.2608695652173913,0.782608695652174,1.2608695652173914,-0.4782608695652174
2023-07-10 15:15:00,0,15:15,Torneo Clausura,Sport Huancayo,Cusco,3,1,4-3-3,4-2-2-2,1,32.0,26.0,25.0,23.0,24.0,31.0,35.0,3.0,2.0,0.0,0.0,D,W,W,L,L,W,W,L,W,L,7.0,3.0,-4.0,0.2916666666666667,0.125,1.2916666666666667,1.4583333333333333,-0.16666666666666652
2023-07-14 15:30:00,4,15:30,Torneo Clausura,UTC,Alianza Atlético,1,1,4-2-3-1,3-4-3,0,19.0,33.0,26.0,38.0,25.0,23.0,23.0,2.0,0.0,0.0,3.0,D,D,L,L,W,L,L,L,D,L,-7.0,-5.0,0.0,-0.28,-0.2,0.92,0.92,0.0
2023-07-14 21:00:00,4,21:00,Torneo Clausura,Universitario,Unión Comercio,2,0,3-1-4-2,3-1-4-2,1,36.0,21.0,16.0,36.0,24.0,41.0,16.0,3.0,0.0,0.0,2.0,W,W,D,L,W,L,L,D,D,W,20.0,-15.0,25.0,0.8333333333333334,-0.625,1.7083333333333333,0.6666666666666666,1.0416666666666665
2023-07-15 13:00:00,5,13:00,Torneo Clausura,Deportivo Garcilaso,ADT Tarma,1,2,4-2-3-1,4-2-3-1,0,40.0,25.0,30.0,27.0,24.0,32.0,24.0,3.0,1.0,0.0,0.0,W,D,W,L,D,W,L,D,W,L,10.0,-2.0,8.0,0.4166666666666667,-0.08333333333333333,1.3333333333333333,1.0,0.33333333333333326
2023-07-15 15:15:00,5,15:15,Torneo Clausura,Sporting Cristal,Mannucci,3,2,4-3-3,4-4-2,1,38.0,12.0,18.0,17.0,24.0,42.0,21.0,11.0,1.0,0.0,0.0,D,W,W,D,W,W,L,D,L,L,20.0,-5.0,21.0,0.8333333333333334,-0.20833333333333334,1.75,0.875,0.875
2023-07-16 13:00:00,6,13:00,Torneo Clausura,Atlético Grau,Binacional,2,1,4-2-3-1,4-2-3-1,1,31.0,29.0,28.0,41.0,24.0,23.0,18.0,0.0,0.0,3.0,3.0,L,L,L,D,W,L,L,L,W,L,3.0,-12.0,5.0,0.125,-0.5,0.9583333333333334,0.75,0.20833333333333337
2023-07-16 15:00:00,6,15:00,Torneo Clausura,Sport Boys,Alianza Lima,1,0,4-3-3,4-3-3,1,16.0,40.0,28.0,16.0,24.0,24.0,49.0,1.0,4.0,0.0,0.0,W,L,W,W,W,D,W,W,W,L,-12.0,24.0,-25.0,-0.5,1.0,1.0,2.0416666666666665,-1.0416666666666665
2023-07-16 17:00:00,6,17:00,Torneo Clausura,Cusco,Cienciano,0,0,3-4-3,5-4-1,0,27.0,29.0,26.0,31.0,25.0,35.0,29.0,0.0,3.0,1.0,0.0,L,W,W,L,W,D,W,D,L,L,1.0,-2.0,6.0,0.04,-0.08,1.4,1.16,0.24
